"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2023","1,356.82","1,353.80","1,356.82","1,347.60","","0.29%"
"09/26/2023","1,352.93","1,339.69","1,354.97","1,337.31","","1.12%"
"09/25/2023","1,338.01","1,335.56","1,341.47","1,330.14","","0.30%"
"09/22/2023","1,334.03","1,339.57","1,341.81","1,330.74","","-0.37%"
"09/21/2023","1,339.00","1,333.44","1,344.65","1,331.67","","0.46%"
"09/20/2023","1,332.92","1,328.99","1,335.94","1,323.63","","0.32%"
"09/19/2023","1,328.62","1,324.05","1,329.47","1,319.43","","0.38%"
"09/18/2023","1,323.57","1,329.42","1,330.06","1,322.69","","-0.37%"
"09/15/2023","1,328.46","1,330.02","1,330.83","1,324.49","","-0.08%"
"09/14/2023","1,329.52","1,328.20","1,331.11","1,323.11","","0.22%"
"09/13/2023","1,326.59","1,326.72","1,332.05","1,323.66","","0.03%"
"09/12/2023","1,326.15","1,326.05","1,329.44","1,323.05","","0.05%"
"09/11/2023","1,325.49","1,336.34","1,336.44","1,325.18","","-0.71%"
"09/08/2023","1,334.96","1,334.78","1,337.75","1,331.49","","0.11%"
"09/07/2023","1,333.45","1,334.53","1,339.07","1,330.48","","-0.01%"
"09/06/2023","1,333.58","1,329.95","1,337.99","1,328.42","","0.34%"
"09/05/2023","1,329.05","1,318.41","1,335.68","1,316.81","","0.90%"
"09/04/2023","1,317.21","1,318.45","1,322.00","1,315.59","","-0.03%"
"09/01/2023","1,317.55","1,325.46","1,326.37","1,311.88","","-0.57%"
"08/31/2023","1,325.14","1,323.79","1,326.86","1,320.00","","0.12%"
"08/30/2023","1,323.49","1,318.60","1,326.22","1,318.53","","0.41%"
"08/29/2023","1,318.06","1,324.21","1,329.14","1,318.13","","-0.43%"
"08/28/2023","1,323.81","1,324.57","1,327.77","1,319.10","","0.02%"
"08/25/2023","1,323.53","1,328.34","1,330.61","1,319.82","","-0.29%"
"08/24/2023","1,327.35","1,327.92","1,330.24","1,317.88","","0.07%"
"08/23/2023","1,326.42","1,340.81","1,342.31","1,326.69","","-1.00%"
"08/22/2023","1,339.81","1,340.04","1,342.58","1,334.09","","0.05%"
"08/21/2023","1,339.15","1,340.17","1,344.83","1,338.05","","0.00%"
"08/18/2023","1,339.17","1,339.76","1,344.81","1,332.44","","-0.01%"
"08/17/2023","1,339.27","1,341.94","1,344.35","1,334.99","","-0.15%"
"08/16/2023","1,341.22","1,336.87","1,345.77","1,334.01","","0.36%"
"08/15/2023","1,336.42","1,337.94","1,340.47","1,332.55","","-0.03%"
"08/14/2023","1,336.80","1,330.60","1,339.72","1,327.69","","0.49%"
"08/11/2023","1,330.30","1,318.14","1,333.92","1,316.17","","1.02%"
"08/10/2023","1,316.90","1,313.10","1,319.91","1,308.18","","0.29%"
"08/09/2023","1,313.08","1,317.02","1,322.29","1,309.70","","-0.28%"
"08/08/2023","1,316.72","1,307.93","1,322.69","1,305.20","","0.72%"
"08/07/2023","1,307.30","1,304.29","1,309.06","1,298.80","","0.25%"
"08/04/2023","1,304.08","1,299.93","1,312.38","1,296.82","","0.39%"
"08/03/2023","1,299.01","1,299.47","1,304.23","1,294.55","","0.01%"
"08/02/2023","1,298.93","1,289.40","1,303.09","1,286.94","","0.77%"
"08/01/2023","1,289.00","1,278.28","1,291.10","1,274.88","","0.87%"
"07/31/2023","1,277.86","1,273.33","1,279.42","1,269.82","","0.40%"
"07/28/2023","1,272.83","1,284.17","1,284.89","1,273.28","","-0.85%"
"07/27/2023","1,283.78","1,271.42","1,284.94","1,266.98","","1.02%"
"07/26/2023","1,270.80","1,276.58","1,282.78","1,268.14","","-0.42%"
"07/25/2023","1,276.18","1,280.88","1,285.61","1,273.79","","-0.33%"
"07/24/2023","1,280.45","1,286.65","1,288.98","1,277.03","","-0.45%"
"07/21/2023","1,286.19","1,277.13","1,290.69","1,275.92","","0.76%"
"07/20/2023","1,276.53","1,267.94","1,280.30","1,261.56","","0.76%"
"07/19/2023","1,266.94","1,265.31","1,269.46","1,261.67","","0.16%"
"07/18/2023","1,264.95","1,263.72","1,267.55","1,256.71","","0.14%"
"07/17/2023","1,263.17","1,269.32","1,271.08","1,263.31","","-0.41%"
