,return,beta,volatility
SMALL LoBM,0.002349520209363178,1.4006628124694305,0.01775614677484073
ME1 BM2,0.0478133178249491,1.3961772425189638,0.018793687404395173
ME1 BM3,0.03585635359116022,1.0424159448638413,0.017431684112530366
ME1 BM4,0.016510613550450717,1.2649521515589286,0.01624918316551851
ME1 BM5,0.03531259086943879,1.4554663127833511,0.01701789638263078
ME1 BM6,0.03682756615295144,1.1012264021956433,0.014781282166941674
ME1 BM7,0.027699912765338765,1.1557675735277493,0.014265720211252247
ME1 BM8,0.04222739168362896,1.1252005433315226,0.01336585181681007
ME1 BM9,0.05773189880779296,1.1120294106593847,0.01187377836215979
SMALL HiBM,0.04613550450712416,1.0035056471362485,0.012766128318557245
ME2 BM1,0.05140738586798488,1.5299805160628337,0.019595024520026826
ME2 BM2,0.02005524861878453,1.649890620101773,0.01794821170309523
ME2 BM3,0.0479470776388485,1.3418337602090333,0.017212185384343107
ME2 BM4,0.06158476301250363,1.6155456569385225,0.01735533216835404
ME2 BM5,0.05448095376562954,1.2245552527449552,0.01621431469883876
ME2 BM6,0.04014539110206456,1.2923531043671335,0.015558091236535595
ME2 BM7,0.047792963070660076,1.3222867480030196,0.016008836051423107
ME2 BM8,0.05578075021808664,1.360788009272076,0.0164986163767627
ME2 BM9,0.044824076766501894,1.3576219210347635,0.015920476723696446
ME2 BM10,0.0773277115440535,1.590593367499834,0.022036619854208364
ME3 BM1,0.05941261994765921,1.7836009851910046,0.019005733418013968
ME3 BM2,0.05817097993602791,1.4441502592878381,0.017012851976369057
ME3 BM3,0.05362023844140738,1.3571461671842018,0.01602657571699844
ME3 BM4,0.05446932247746439,1.245332726961808,0.016102355443239985
ME3 BM5,0.04509159639430068,1.3044558250311429,0.015474197965121186
ME3 BM6,0.06056120965396918,1.2520960197447186,0.016006706197543456
ME3 BM7,0.04995347484733934,1.3866410117870864,0.01535505197515383
ME3 BM8,0.039770282058738005,1.3419930246571166,0.015867989645912375
ME3 BM9,0.05888048851410295,1.2696138343022048,0.016392462298160874
ME3 BM10,0.05554812445478338,1.5268199031338179,0.01872647457566456
ME4 BM1,0.06246874091305612,1.5746321059951274,0.017835645212936395
ME4 BM2,0.0437452747891829,1.4700083038056946,0.01645187354787762
ME4 BM3,0.06097412038383252,1.2778102948645396,0.015463832679753478
ME4 BM4,0.057385867984879324,1.4137661256553458,0.015704786696163018
ME4 BM5,0.04824949113114278,1.212733734970507,0.015186381047142082
ME4 BM6,0.046783948822332076,0.9961448202058142,0.014580437755388165
ME4 BM7,0.05026461180575749,1.21723588262562,0.014881585767419938
ME4 BM8,0.04514102936900262,1.087262101322064,0.015095203560979233
ME4 BM9,0.05018610061064263,1.3600333655080605,0.015774525705017698
ME4 BM10,0.03169816807211398,1.295355350968619,0.019385685026564313
ME5 BM1,0.050398371619656886,1.5489943236367967,0.016771053072600153
ME5 BM2,0.05937191043908114,1.5456379289928954,0.01581154259132616
ME5 BM3,0.051296888630415816,1.2412219857683742,0.015009689388502135
ME5 BM4,0.06592904914219248,1.2202004058482732,0.014646004047418686
ME5 BM5,0.04500436173306194,1.2167705936953421,0.014674310018573942
ME5 BM6,0.057932538528642046,1.1151433683063083,0.01380589111728353
ME5 BM7,0.04754289037510905,1.358497542471181,0.014904755952256342
ME5 BM8,0.05538528642047108,1.1364650161013898,0.0153545232752332
ME5 BM9,0.046182029659784816,1.182129412770204,0.016477397323579883
ME5 BM10,0.027519627798778725,1.1487822312866671,0.01823012376155119
ME6 BM1,0.05796161674905496,1.32130174278999,0.016087512483068757
ME6 BM2,0.040817097993602794,1.172994762099813,0.01514763134836064
ME6 BM3,0.06601046815934865,1.263764509624654,0.014331095915016226
ME6 BM4,0.058874672870020364,1.2575981910077205,0.013814550243722714
ME6 BM5,0.04016865367839489,1.1792061175645077,0.014013597655998666
ME6 BM6,0.047220122128525735,1.0776418947943276,0.013950145727671191
ME6 BM7,0.06505670252980518,1.1044366880021992,0.01477003545936035
ME6 BM8,0.033108461762140155,1.0853605813265468,0.01586370334468064
ME6 BM9,0.04321895899970923,1.2575108835108897,0.01690320828147641
ME6 BM10,0.04392265193370165,1.1575970230992259,0.017559279723261507
ME7 BM1,0.053835417272462924,1.0396705964217374,0.014653456672328749
ME7 BM2,0.057260831637103805,1.1077822508154351,0.01369323736418901
ME7 BM3,0.05963070660075604,0.9194922700433816,0.01291929409194366
ME7 BM4,0.03499563826693807,0.9552281002860509,0.0131871104580971
ME7 BM5,0.05578947368421052,0.986004348442619,0.013387065670740366
ME7 BM6,0.03542018028496657,1.0797860155184054,0.014199313803390018
ME7 BM7,0.06670543762721722,1.0763078646570408,0.014043702892333525
