Country,agricultural rate,armed forces size,birth rate,CO2 emissions,CPI,Fertility rate,forested area,gasoline price,gross primary education,gross tertiary deucation,infant mortality,life expectancy,maternal mortality ratio,minimum wage,health expenditure,physician ratio,labor force participation,tax revenue,total tax rate,unemployment rate,GDP per Capita,urban population rate,label
Afghanistan,0.5810000000000001,323000.0,0.3249,8672.0,149.9,0.0447,0.021,0.7,1.04,0.09699999999999999,47.9,64.5,638.0,0.43,0.784,0.28,0.489,0.09300000000000001,0.7140000000000001,0.1112,502.11548691997746,0.25753999145254974,0
Albania,0.43100000000000005,9000.0,0.1178,4536.0,119.05,0.016200000000000003,0.281,1.36,1.07,0.55,7.8,78.5,15.0,1.12,0.569,1.2,0.557,0.18600000000000003,0.36600000000000005,0.1233,5352.857411084262,0.6122901375556156,0
Algeria,0.174,317000.0,0.24280000000000002,150006.0,151.36,0.0302,0.008,0.28,1.099,0.514,20.1,76.7,112.0,0.95,0.281,1.72,0.41200000000000003,0.37200000000000005,0.6609999999999999,0.11699999999999999,3948.3432789227913,0.7318900071525704,0
Andorra,0.4,0.0,0.07200000000000001,469.0,190.46095505617978,0.012700000000000001,0.34,1.51,1.064,0.0,2.7,72.27967914438503,160.39226519337018,6.63,0.364,3.33,0.6273806818181819,0.16573964497041424,0.4082240437158471,0.06886363636363636,40886.39116175365,0.8798449612403101,1
Angola,0.47500000000000003,117000.0,0.4073,34693.0,261.73,0.0552,0.46299999999999997,0.97,1.135,0.09300000000000001,51.6,60.8,241.0,0.71,0.334,0.21,0.775,0.092,0.49100000000000005,0.0689,2973.591159799147,0.6617699851643166,0
Antigua and Barbuda,0.20500000000000002,0.0,0.1533,557.0,113.81,0.0199,0.223,0.99,1.05,0.24800000000000003,5.0,76.9,42.0,3.04,0.24300000000000002,2.76,0.6273806818181819,0.165,0.43,0.06886363636363636,17790.309304145474,0.24506270722214213,1
Argentina,0.543,105000.0,0.1702,201348.0,232.75,0.0226,0.098,1.1,1.097,0.9,8.8,76.5,39.0,3.35,0.17600000000000002,3.96,0.613,0.10099999999999999,1.063,0.09789999999999999,10006.148973606541,0.9199100098819032,1
Armenia,0.589,49000.0,0.1399,5156.0,129.18,0.0176,0.11699999999999999,0.77,0.927,0.546,11.0,74.9,26.0,0.66,0.816,4.4,0.556,0.209,0.226,0.1699,4622.733493343377,0.632190013222974,0
Australia,0.48200000000000004,58000.0,0.126,375908.0,119.8,0.0174,0.163,0.93,1.003,1.131,3.1,82.7,6.0,13.59,0.196,3.68,0.655,0.23,0.474,0.0527,54049.8288124881,0.8477933355985393,1
Austria,0.324,21000.0,0.09699999999999999,61448.0,118.06,0.0147,0.469,1.2,1.031,0.851,2.9,81.6,5.0,0.01,0.179,5.17,0.6070000000000001,0.254,0.514,0.0467,50277.27508736838,0.5851500275935734,1
Azerbaijan,0.5770000000000001,82000.0,0.14,37620.0,156.32,0.0173,0.141,0.56,0.997,0.277,19.2,72.9,26.0,0.47,0.7859999999999999,3.45,0.665,0.13,0.40700000000000003,0.055099999999999996,3911.5789801341234,0.5603099692137873,0
The Bahamas,0.013999999999999999,1000.0,0.13970000000000002,1786.0,116.22,0.0175,0.514,0.92,0.8140000000000001,0.151,8.3,73.8,70.0,5.25,0.278,1.94,0.746,0.14800000000000002,0.33799999999999997,0.1036,32933.48601475806,0.8313195475015533,1
Bahrain,0.111,19000.0,0.1399,31694.0,117.59,0.0199,0.008,0.43,0.9940000000000001,0.505,6.1,77.2,14.0,0.01,0.251,0.93,0.7340000000000001,0.042,0.138,0.0070999999999999995,25688.046129052665,0.977007728242882,1
Bangladesh,0.706,221000.0,0.1818,84246.0,179.68,0.0204,0.11,1.12,1.165,0.20600000000000002,25.1,72.3,173.0,0.51,0.718,0.58,0.59,0.08800000000000001,0.334,0.04190000000000001,1808.4378618138294,0.36451563884940913,0
Barbados,0.233,1000.0,0.10650000000000001,1276.0,134.09,0.016200000000000003,0.147,1.81,0.9940000000000001,0.654,11.3,79.1,27.0,3.13,0.452,2.48,0.652,0.275,0.35600000000000004,0.1033,18148.24492640014,0.31157913073774063,1
Belarus,0.42,155000.0,0.099,58280.0,190.46095505617978,0.014499999999999999,0.42600000000000005,0.6,1.0050000000000001,0.8740000000000001,2.6,74.2,2.0,1.49,0.34500000000000003,5.19,0.6409999999999999,0.147,0.533,0.045899999999999996,6663.295292861749,0.7904400362696972,0
Belgium,0.446,32000.0,0.10300000000000001,96889.0,117.11,0.016200000000000003,0.226,1.43,1.0390000000000001,0.797,2.9,81.6,5.0,10.31,0.17600000000000002,3.07,0.536,0.24,0.554,0.0559,46116.699233676605,0.9804099684301407,1
Belize,0.07,2000.0,0.2079,568.0,105.68,0.023100000000000002,0.5970000000000001,1.13,1.117,0.247,11.2,74.5,36.0,1.65,0.227,1.12,0.6509999999999999,0.263,0.311,0.0641,4815.163710795101,0.4586592135836025,0
Benin,0.33299999999999996,12000.0,0.3622,6476.0,110.71,0.0484,0.378,0.72,1.22,0.12300000000000001,60.5,61.5,397.0,0.39,0.405,0.08,0.7090000000000001,0.10800000000000001,0.489,0.0223,1219.4326718639563,0.47861001015917853,0
Bhutan,0.136,6000.0,0.17260000000000003,1261.0,167.18,0.0198,0.725,0.98,1.001,0.156,24.8,71.5,183.0,0.32,0.198,0.42,0.667,0.16,0.353,0.0234,3364.767826224481,0.43669144393484105,0
Bolivia,0.348,71000.0,0.2175,21606.0,148.32,0.0273,0.503,0.71,0.9820000000000001,0.0,21.8,71.2,155.0,1.36,0.259,1.59,0.718,0.17,0.8370000000000001,0.035,3552.068762105775,0.6977299771564566,0
Botswana,0.456,9000.0,0.2482,6340.0,149.75,0.028700000000000003,0.189,0.71,1.032,0.249,30.0,69.3,144.0,0.29,0.053,0.37,0.708,0.195,0.251,0.1819,7817.1830832174355,0.6890139243425161,0
Brazil,0.33899999999999997,730000.0,0.1392,462299.0,167.4,0.0173,0.589,1.02,1.1540000000000001,0.513,12.8,75.7,60.0,1.53,0.28300000000000003,2.15,0.639,0.142,0.6509999999999999,0.1208,8655.264804221777,0.8620725611041735,0
Brunei,0.027000000000000003,8000.0,0.149,7664.0,99.03,0.018500000000000003,0.721,0.37,1.032,0.314,9.8,75.7,31.0,0.01,0.06,1.61,0.647,0.16573964497041424,0.08,0.09119999999999999,31086.751078389512,0.7794200122321335,1
Bulgaria,0.46299999999999997,31000.0,0.08900000000000001,41708.0,114.42,0.015600000000000001,0.354,1.11,0.893,0.71,5.9,74.9,10.0,1.57,0.47700000000000004,4.03,0.554,0.20199999999999999,0.28300000000000003,0.0434,12328.404026456756,0.7534700515112258,1
Burkina Faso,0.44200000000000006,11000.0,0.3793,3418.0,106.58,0.0519,0.193,0.98,0.961,0.065,49.0,61.2,320.0,0.34,0.36100000000000004,0.08,0.664,0.15,0.413,0.0626,774.8396902513206,0.2997999938783679,0
Burundi,0.792,31000.0,0.3901,495.0,182.11,0.0541,0.109,1.21,1.2140000000000002,0.061,41.0,61.2,548.0,0.01,0.19100000000000003,0.1,0.792,0.136,0.41200000000000003,0.0143,261.24747254691437,0.13365997200487748,0
Ivory Coast,0.648,27000.0,0.35740000000000005,9674.0,111.61,0.04650000000000001,0.327,0.93,0.998,0.09300000000000001,59.4,57.4,617.0,0.36,0.36,0.23,0.5700000000000001,0.11800000000000001,0.501,0.0332,2286.16277684902,0.5123900007714878,0
Cape Verde,0.196,1000.0,0.1949,543.0,110.5,0.0227,0.225,1.02,1.04,0.23600000000000002,16.7,72.8,58.0,0.68,0.23199999999999998,0.77,0.605,0.201,0.375,0.1225,4097.872209632196,0.7527045580487483,0
Cambodia,0.309,191000.0,0.22460000000000002,9919.0,127.63,0.025,0.529,0.9,1.074,0.13699999999999998,24.0,69.6,160.0,0.01,0.594,0.17,0.823,0.171,0.231,0.0068000000000000005,1643.121388766668,0.23804998040219713,0
Cameroon,0.20600000000000002,24000.0,0.3539,8291.0,118.65,0.045700000000000005,0.39299999999999996,1.03,1.034,0.128,50.6,58.9,529.0,0.35,0.6970000000000001,0.09,0.761,0.128,0.5770000000000001,0.0338,1497.90917558793,0.5696799938785874,0
Canada,0.069,72000.0,0.10099999999999999,544894.0,116.76,0.015,0.38200000000000006,0.81,1.0090000000000001,0.6890000000000001,4.3,81.9,10.0,9.51,0.146,2.61,0.6509999999999999,0.128,0.245,0.0556,46940.59584210967,0.827976257881404,1
Central African Republic,0.08199999999999999,8000.0,0.35350000000000004,297.0,186.86,0.0472,0.35600000000000004,1.41,1.02,0.03,84.5,52.8,829.0,0.37,0.396,0.06,0.72,0.086,0.733,0.0368,467.90744070041524,0.41770004752185635,0
Chad,0.397,35000.0,0.4217,1016.0,117.7,0.0575,0.038,0.78,0.868,0.033,71.4,54.0,1140.0,0.6,0.564,0.04,0.7070000000000001,0.16573964497041424,0.635,0.0189,709.5403101522832,0.23278998344252505,0
Chile,0.212,122000.0,0.1243,85822.0,131.91,0.0165,0.24300000000000002,1.03,1.014,0.885,6.2,80.0,13.0,2.0,0.322,2.59,0.626,0.182,0.34,0.0709,14896.453866597354,0.876430017711024,1
China,0.562,2695000.0,0.109,9893038.0,125.08,0.0169,0.22399999999999998,0.96,1.002,0.506,7.4,77.0,29.0,0.87,0.324,1.98,0.68,0.094,0.5920000000000001,0.0432,14244.677920749224,0.6030799998569093,1
Colombia,0.40299999999999997,481000.0,0.14880000000000002,97814.0,140.95,0.0181,0.527,0.68,1.145,0.5529999999999999,12.2,77.1,83.0,1.23,0.18300000000000002,2.18,0.688,0.14400000000000002,0.7120000000000001,0.0971,6432.387583390623,0.8110400029654679,0
Republic of the Congo,0.311,12000.0,0.3286,3282.0,124.74,0.0443,0.654,0.97,1.066,0.127,36.2,64.3,378.0,0.88,0.438,0.12,0.6940000000000001,0.09,0.543,0.0947,2011.0723989259006,0.6737300641500765,0
Costa Rica,0.34500000000000003,10000.0,0.13970000000000002,8023.0,128.85,0.0175,0.546,0.98,1.133,0.552,7.6,80.1,27.0,1.84,0.215,2.89,0.621,0.136,0.583,0.1185,12238.374964463035,0.8007600106269147,1
Croatia,0.276,18000.0,0.09,17488.0,109.82,0.0147,0.344,1.26,0.965,0.679,4.0,78.1,8.0,2.92,0.152,3.0,0.512,0.22,0.20500000000000002,0.0693,14853.239837492318,0.572419913952059,1
Cyprus,0.122,16000.0,0.10460000000000001,6626.0,102.51,0.013300000000000001,0.187,1.23,0.993,0.7590000000000001,1.9,80.8,6.0,0.01,0.439,1.95,0.631,0.245,0.22399999999999998,0.0727,20494.87761299877,0.6680499760131823,1
Czech Republic,0.452,23000.0,0.107,102218.0,116.48,0.0169,0.34600000000000003,1.17,1.0070000000000001,0.6409999999999999,2.7,79.0,3.0,3.0,0.14800000000000002,4.12,0.606,0.149,0.461,0.0193,23101.777704996453,0.7392100384368496,1
Democratic Republic of the Congo,0.11599999999999999,134000.0,0.4118,2021.0,133.85,0.0592,0.672,1.49,1.08,0.066,68.2,60.4,473.0,0.18,0.374,0.07,0.635,0.107,0.507,0.0424,545.2162123102618,0.45046000217973,0
Denmark,0.62,15000.0,0.106,31786.0,110.35,0.0173,0.147,1.55,1.013,0.8059999999999999,3.6,81.0,4.0,0.01,0.13699999999999998,4.01,0.622,0.324,0.23800000000000002,0.049100000000000005,59822.092960913134,0.8799400813226244,1
Djibouti,0.7340000000000001,13000.0,0.2147,620.0,120.25,0.0273,0.002,1.32,0.753,0.053,49.8,66.6,248.0,0.01,0.204,0.22,0.6020000000000001,0.16573964497041424,0.379,0.10300000000000001,3408.8462539545585,0.7791497185586919,0
Dominican Republic,0.48700000000000004,71000.0,0.19510000000000002,25258.0,135.5,0.0235,0.41700000000000004,1.07,1.057,0.599,24.1,73.9,95.0,0.4,0.43700000000000006,1.56,0.643,0.13,0.488,0.0584,8282.11622189043,0.8182800416949205,0
Ecuador,0.222,41000.0,0.1972,41155.0,124.14,0.024300000000000002,0.502,0.61,1.033,0.449,12.2,76.8,59.0,2.46,0.43700000000000006,2.04,0.68,0.16573964497041424,0.344,0.039700000000000006,6183.823824821733,0.6398599788576524,0
Egypt,0.038,836000.0,0.2638,238560.0,288.57,0.0333,0.001,0.4,1.063,0.35200000000000004,18.1,71.8,37.0,0.01,0.62,0.45,0.46399999999999997,0.125,0.444,0.1076,3020.0313497202005,0.42730000405526264,0
El Salvador,0.7640000000000001,42000.0,0.1825,7169.0,111.23,0.0204,0.126,0.83,0.948,0.294,11.8,73.1,46.0,0.5,0.27899999999999997,1.57,0.5910000000000001,0.18100000000000002,0.364,0.041100000000000005,4187.250031106896,0.7274600518505078,0
Eritrea,0.752,202000.0,0.303,711.0,190.46095505617978,0.0406,0.149,2.0,0.684,0.034,31.3,65.9,480.0,0.01,0.524,0.06,0.784,0.16573964497041424,0.8370000000000001,0.0514,326.0630992391604,0.18153252693965943,0
Estonia,0.231,6000.0,0.109,16590.0,122.14,0.0159,0.513,1.14,0.9720000000000001,0.696,2.1,78.2,9.0,3.14,0.228,4.48,0.636,0.209,0.478,0.051100000000000007,23566.890205462583,0.6877965857350521,1
Ethiopia,0.363,138000.0,0.3234,14870.0,143.86,0.0425,0.125,0.75,1.01,0.081,39.1,66.2,401.0,0.01,0.378,0.08,0.7959999999999999,0.075,0.37700000000000006,0.020800000000000003,857.5013510413618,0.21224999605188247,0
Fiji,0.233,4000.0,0.21280000000000002,2046.0,132.3,0.027700000000000002,0.559,0.82,1.064,0.161,21.6,67.3,34.0,1.28,0.214,0.84,0.5760000000000001,0.242,0.321,0.040999999999999995,6220.046420428944,0.5674996320030383,0
Finland,0.075,25000.0,0.086,45871.0,112.33,0.0141,0.731,1.45,1.002,0.882,1.4,81.7,3.0,0.01,0.19899999999999998,3.81,0.5910000000000001,0.20800000000000002,0.36600000000000005,0.0659,48685.853986747854,0.8544600904948523,1
France,0.524,307000.0,0.113,303276.0,110.05,0.0188,0.312,1.39,1.025,0.6559999999999999,3.4,82.5,8.0,11.16,0.068,3.27,0.551,0.242,0.6070000000000001,0.0843,40493.9285720389,0.8070899970350383,1
