iter	Passed	Remaining
0	60	59969
1	61	30683
2	62	20873
3	64	15976
4	65	13051
5	67	11112
6	68	9717
7	69	8663
8	71	7876
9	72	7221
10	74	6712
11	76	6328
12	79	6025
13	80	5693
14	82	5414
15	83	5154
16	85	4944
17	86	4745
18	88	4565
19	90	4410
20	91	4265
21	93	4137
22	94	4014
23	96	3904
24	97	3805
25	99	3709
26	100	3625
27	102	3542
28	103	3465
29	104	3390
30	106	3327
31	107	3262
32	109	3204
33	110	3146
34	112	3095
35	113	3045
36	115	2998
37	116	2954
38	118	2913
39	119	2870
40	121	2833
41	122	2794
42	124	2760
43	125	2724
44	126	2693
45	128	2662
46	129	2634
47	131	2607
48	132	2578
49	134	2551
50	136	2532
51	137	2511
52	139	2489
53	140	2469
54	142	2447
55	143	2426
56	145	2405
57	146	2385
58	148	2364
59	149	2344
60	151	2328
61	152	2311
62	154	2296
63	155	2280
64	157	2264
65	158	2248
66	160	2231
67	161	2218
68	163	2203
69	164	2189
70	166	2173
71	167	2159
72	168	2145
73	170	2133
74	172	2121
75	173	2109
76	174	2097
77	176	2085
78	178	2075
79	179	2065
80	181	2054
81	182	2042
82	183	2032
83	185	2022
84	186	2012
85	188	2004
86	190	1994
87	191	1985
88	193	1977
89	194	1970
90	196	1961
91	197	1953
92	199	1945
93	200	1936
94	202	1928
95	203	1920
96	205	1911
97	206	1903
98	208	1895
99	210	1896
100	212	1889
101	213	1881
102	215	1873
103	216	1865
104	218	1858
105	219	1850
106	220	1844
107	222	1837
108	224	1831
109	225	1826
110	227	1819
111	228	1813
112	230	1806
113	231	1799
114	233	1794
115	234	1788
116	236	1783
117	237	1776
118	239	1771
119	240	1765
120	242	1759
121	243	1754
122	245	1749
123	246	1743
124	248	1738
125	250	1734
126	251	1730
127	253	1725
128	254	1720
129	256	1715
130	257	1710
131	259	1705
132	260	1700
133	262	1696
134	263	1691
135	265	1686
136	267	1682
137	268	1677
138	270	1674
139	271	1669
140	273	1665
141	274	1660
142	276	1656
143	277	1651
144	279	1647
145	280	1642
146	282	1637
147	283	1633
148	285	1629
149	286	1624
150	288	1620
151	289	1616
152	291	1612
153	293	1612
154	295	1608
155	296	1604
156	298	1600
157	299	1597
158	301	1593
159	302	1589
160	304	1585
161	305	1582
162	307	1578
163	308	1574
164	310	1570
165	311	1566
166	313	1563
167	315	1562
168	319	1572
169	323	1577
170	324	1574
171	326	1571
172	327	1567
173	329	1563
174	330	1560
175	332	1557
176	334	1553
177	335	1549
178	337	1546
179	338	1542
180	340	1539
181	341	1536
182	343	1533
183	344	1529
184	347	1530
185	351	1539
186	379	1650
187	382	1650
188	387	1661
189	395	1685
190	399	1693
191	402	1692
192	405	1694
193	407	1693
194	411	1697
195	417	1711
196	421	1719
197	425	1722
198	427	1720
199	430	1720
200	432	1720
201	435	1719
202	437	1716
203	439	1714
204	442	1717
205	444	1714
206	446	1711
207	448	1707
208	450	1704
209	453	1707
210	457	1711
211	460	1710
212	462	1709
213	464	1706
214	467	1707
215	469	1705
216	483	1743
217	485	1741
218	487	1739
219	489	1736
220	502	1770
221	504	1768
222	506	1765
223	508	1763
224	521	1796
225	523	1793
226	525	1790
227	527	1787
228	529	1784
229	573	1921
230	578	1927
231	586	1942
232	589	1940
233	592	1940
234	606	1975
235	608	1971
236	610	1966
237	613	1962
238	615	1960
239	617	1956
240	624	1966
241	633	1983
242	635	1979
243	646	2002
244	648	1999
245	650	1994
246	654	1996
247	666	2019
248	668	2015
249	670	2010
250	672	2006
251	676	2006
252	680	2010
253	683	2008
254	686	2004
255	688	2000
256	694	2008
257	697	2005
258	699	2001
259	702	1998
260	705	1996
261	707	1991
262	709	1988
263	712	1986
264	715	1983
265	717	1980
266	719	1975
267	721	1971
268	724	1968
269	728	1968
270	740	1992
271	746	1997
272	751	2001
273	754	1998
274	756	1994
275	760	1994
276	762	1990
277	764	1985
278	766	1980
279	768	1976
280	770	1971
281	782	1992
282	784	1987
283	786	1982
284	790	1982
285	792	1978
